iter	RMSE
0	2.702793937
1	2.676595363
2	2.654493901
3	2.626951641
4	2.60979074
5	2.591534568
6	2.571818242
7	2.554762818
8	2.533007777
9	2.5172789
10	2.498211733
11	2.481983832
12	2.462919766
13	2.440920405
14	2.426050112
15	2.406996072
16	2.390031144
17	2.373795971
18	2.3608247
19	2.344599737
20	2.331846088
21	2.316344093
22	2.306433956
23	2.293701999
24	2.282130263
25	2.2690307
26	2.254925898
27	2.242175676
28	2.231964
29	2.217377659
30	2.209162449
31	2.195079416
32	2.190089342
33	2.178175013
34	2.166592485
35	2.157876468
36	2.148809082
37	2.140616081
38	2.13089376
39	2.122102462
40	2.111292709
41	2.10423958
42	2.093929121
43	2.083072196
44	2.07182966
45	2.061682496
46	2.04903423
47	2.03861425
48	2.02935718
49	2.023012872
50	2.015438394
51	2.007798477
52	2.00033398
53	1.990051253
54	1.986285071
55	1.97925744
56	1.970615608
57	1.966618076
58	1.958716934
59	1.950968248
60	1.941956917
61	1.934396695
62	1.927142846
63	1.91957435
64	1.914183395
65	1.90569253
66	1.900416929
67	1.894668126
68	1.888787001
69	1.880681506
70	1.874105474
71	1.86984427
72	1.8635204
73	1.858421209
74	1.852895624
75	1.846931212
76	1.841622067
77	1.837153182
78	1.828924546
79	1.822410359
80	1.816027496
81	1.809640269
82	1.800609723
83	1.795703944
84	1.790831362
85	1.782370326
86	1.777539522
87	1.771628119
88	1.766916402
89	1.756997824
90	1.753170134
91	1.741669336
92	1.734875385
93	1.731571299
94	1.726142368
95	1.722378636
96	1.714157957
97	1.704411683
98	1.698717828
99	1.691872032
100	1.687806592
101	1.679474062
102	1.675330909
103	1.667922533
104	1.660846762
105	1.655121855
106	1.647261098
107	1.63982968
108	1.634496499
109	1.628551483
110	1.625261677
111	1.621294886
112	1.618096739
113	1.610360497
114	1.605304008
115	1.599920483
116	1.597507467
117	1.594890119
118	1.588568926
119	1.584931393
120	1.579559749
121	1.571839313
122	1.565829855
123	1.55849839
124	1.553908374
125	1.54861974
126	1.541668062
127	1.535402334
128	1.528720087
129	1.523855872
130	1.517845921
131	1.512789055
132	1.508116178
133	1.502353944
134	1.495117023
135	1.487272445
136	1.481363398
137	1.475662866
138	1.468456076
139	1.462223256
140	1.45901537
141	1.455596381
142	1.449212377
143	1.44595355
144	1.441543723
145	1.434610561
146	1.428602431
147	1.423818683
148	1.420465386
149	1.414917817
150	1.41024566
151	1.403457949
152	1.39922859
153	1.394496153
154	1.389822111
155	1.385942238
156	1.378286625
157	1.369837502
158	1.36650534
159	1.363874821
160	1.358861124
161	1.352402371
162	1.346451204
163	1.339991051
164	1.334220163
165	1.331426658
166	1.328975857
167	1.322136484
168	1.316896191
169	1.309765071
170	1.30632895
171	1.302704128
172	1.300047469
173	1.296597996
174	1.294349893
175	1.290248889
176	1.286738127
177	1.280352767
178	1.276724748
179	1.274244351
180	1.272875418
181	1.269592297
182	1.266733581
183	1.26502661
184	1.261963807
185	1.258356149
186	1.251568289
187	1.247098813
188	1.242988499
189	1.236662748
190	1.232267756
191	1.230075011
192	1.222994328
193	1.219199626
194	1.213353387
195	1.20803764
196	1.204847002
197	1.198886709
198	1.19424812
199	1.191145224
200	1.187382597
201	1.182101102
202	1.178916655
203	1.175271267
204	1.172029292
205	1.167662838
206	1.165590327
207	1.16391626
208	1.160817805
209	1.157519222
210	1.154046135
211	1.153365823
212	1.149905683
213	1.147011955
214	1.143069652
215	1.139466448
216	1.136588344
217	1.133968799
218	1.131245391
219	1.12569009
220	1.123728539
221	1.122285423
222	1.119690786
223	1.116551326
224	1.114395121
225	1.110702683
226	1.108366144
227	1.105849429
228	1.103662473
229	1.099630845
230	1.09377199
231	1.088831306
232	1.083798942
233	1.081629757
234	1.078722162
235	1.075921325
236	1.073691129
237	1.071863299
238	1.067375585
239	1.065040648
240	1.062255485
241	1.058581872
242	1.056574874
243	1.05367728
244	1.052350941
245	1.047104548
246	1.0428403
247	1.039143079
248	1.036402594
249	1.035838178
250	1.031238486
251	1.028049771
252	1.024315167
253	1.018860707
254	1.01532948
255	1.012543244
256	1.011298347
257	1.007100988
258	1.004000337
259	1.002764391
260	0.9970970782
261	0.9932284269
262	0.9903158744
263	0.9873111032
264	0.9831159127
265	0.9799815063
266	0.9786866951
267	0.9755629797
268	0.9717574793
269	0.9694688624
270	0.9664280134
271	0.9648580062
272	0.9618183658
273	0.960380409
274	0.9579117849
275	0.9549240241
276	0.9525697831
277	0.9509244505
278	0.9502306571
279	0.9468548061
280	0.9435789813
281	0.9417494094
282	0.9387480612
283	0.9369090974
284	0.9364411837
285	0.9338944821
286	0.9320533032
287	0.929055793
288	0.9250079965
289	0.9209396386
290	0.9186359083
291	0.9161438804
292	0.9134285001
293	0.909188005
294	0.9058265755
295	0.9029072943
296	0.8985455401
297	0.8971563556
298	0.8950188349
299	0.8927613397
300	0.8891245287
301	0.8873177715
302	0.8832702661
303	0.8793570643
304	0.8755438904
305	0.8716878717
306	0.8699508991
307	0.8660646593
308	0.8627064677
309	0.8596297078
310	0.8563849692
311	0.8559104122
312	0.8533344462
313	0.8517833453
314	0.8496424435
315	0.8469996301
316	0.844549102
317	0.8434011173
318	0.8425788386
319	0.841189698
320	0.8401131049
321	0.8382926903
322	0.8367437927
323	0.8351806046
324	0.833046176
325	0.8312312473
326	0.8286708921
327	0.8269916619
328	0.8238319526
329	0.8215837612
330	0.8185242707
331	0.8170141307
332	0.8145941399
333	0.8132864419
334	0.8110812398
335	0.8099796122
336	0.8087872025
337	0.8073463161
338	0.8035574048
339	0.8004868762
340	0.7990050185
341	0.7980665697
342	0.7954138741
343	0.7938665881
344	0.7894561848
345	0.7870080645
346	0.7860091326
347	0.7847043348
348	0.7830542975
349	0.782392551
350	0.7795798273
351	0.778384847
352	0.775166491
353	0.7738812433
354	0.7703319178
355	0.7691352077
356	0.7682592793
357	0.7661249175
358	0.763921982
359	0.762106512
360	0.7614923249
361	0.7595026089
362	0.758677831
363	0.7575792517
364	0.7547115235
365	0.7543590778
366	0.752885563
367	0.7508818636
368	0.7487742039
369	0.7457735121
370	0.7436077668
371	0.7403092583
372	0.7376340217
373	0.7363710998
374	0.7357564967
375	0.7327987385
376	0.7320002001
377	0.7301231092
378	0.7287440233
379	0.7273575555
380	0.7244817207
381	0.7232620712
382	0.7215514096
383	0.7192103578
384	0.717778512
385	0.716793286
386	0.7144871225
387	0.7123762854
388	0.7099699634
389	0.7087030489
390	0.7077401689
391	0.7045890222
392	0.7022872302
393	0.6997833143
394	0.6966618513
395	0.6944579409
396	0.6934944103
397	0.6927528115
398	0.6899143192
399	0.6875800803
400	0.6839014085
401	0.6820050583
402	0.6791674085
403	0.6783592668
404	0.6771813652
405	0.6757108081
406	0.6742705074
407	0.6716144962
408	0.6709105859
409	0.6697155
410	0.6677060972
411	0.6666818824
412	0.6656540735
413	0.6639313019
414	0.661330384
415	0.6594410472
416	0.658547017
417	0.6568277117
418	0.6557969582
419	0.6539303751
420	0.6516123814
421	0.6493702327
422	0.6484446662
423	0.6474293691
424	0.6455585038
425	0.6430422343
426	0.6419846846
427	0.6406450844
428	0.6393883312
429	0.637839247
430	0.6373399804
431	0.6363626084
432	0.6349837236
433	0.6333900095
434	0.6327566571
435	0.6321800287
436	0.6310197822
437	0.6299161571
438	0.6290908301
439	0.6269221196
440	0.6256225017
441	0.6244152045
442	0.6229003776
443	0.6226001058
444	0.6220325936
445	0.6211244573
446	0.6202716605
447	0.6196589362
448	0.6178890655
449	0.6160537522
450	0.6150631131
451	0.6139591208
452	0.6108651147
453	0.6090465804
454	0.6078388658
455	0.6069104235
456	0.6056734501
457	0.6050581827
458	0.6029026471
459	0.6015826243
460	0.5996443495
461	0.5971425405
462	0.5965557005
463	0.5956328281
464	0.5932053963
465	0.591075992
466	0.5894211386
467	0.5879663313
468	0.5869900959
469	0.5846915037
470	0.5827445086
471	0.5819473303
472	0.5797879869
473	0.577478921
474	0.5753967206
475	0.5730217405
476	0.5716722734
477	0.5703619878
478	0.5689653784
479	0.5683954591
480	0.5660629127
481	0.5657410022
482	0.5645156385
483	0.5637117424
484	0.5617586872
485	0.5600410167
486	0.5592407072
487	0.5577667142
488	0.5571142038
489	0.5561741192
490	0.5552674759
491	0.5528352923
492	0.5509389505
493	0.548917059
494	0.5468441974
495	0.5457424143
496	0.5450605738
497	0.5448135017
498	0.5427809797
499	0.5407297644
